id site;x;y
1;606;928
2;528;547
3;929;471
4;614;402
5;1123;1011
6;212;906
7;999;761
8;226;1054
9;188;924
10;985;10
11;528;201
12;115;489
13;448;501
14;948;292
15;174;503
16;505;524
17;143;589
18;915;811
19;826;627
20;447;570
21;506;919
22;1127;1069
23;986;195
24;922;538
25;1020;706
26;199;241
27;476;576
28;280;633
29;168;646
30;1018;27
31;519;914
32;844;110
33;1033;79
34;184;218
35;113;918
36;2;300
37;986;118
38;368;382
39;964;928
40;146;517
41;1079;286
42;931;1118
43;969;1117
44;62;608
45;847;921
46;982;509
47;151;1068
48;867;225
49;725;559
50;908;357
51;81;441
52;1104;1048
53;325;597
54;532;604
55;431;73
56;138;128
57;652;181
58;27;490
59;713;546
60;1139;835
61;420;130
62;275;912
63;287;357
64;1040;61
65;98;672
66;41;1114
67;177;772
68;999;935
69;735;422
70;1065;246
71;1147;953
72;599;1042
73;913;529
74;178;797
75;638;1003
76;727;523
77;685;1127
78;77;817
79;1082;1063
80;404;539
81;610;479
82;116;641
83;942;518
84;1061;1054
85;835;277
86;477;829
87;588;551
88;226;664
89;62;304
90;1057;12
91;439;891
92;914;462
93;634;1063
94;1016;42
95;1114;314
96;292;276
97;70;704
98;666;252
99;1012;178
100;515;1086
101;710;26
102;1001;1100
103;1054;604
104;570;538
105;311;948
106;664;480
107;76;882
108;654;968
109;1129;719
110;876;702
111;343;666
112;732;706
113;97;1090
114;468;313
115;1116;428
116;698;1003
117;865;603
118;250;854
119;479;560
120;18;514
121;932;826
122;681;148
123;472;455
124;544;33
125;149;891
126;118;307
127;632;339
128;569;471
129;585;960
130;408;1022
131;675;1075
132;1092;53
133;1113;804
134;116;968
135;1107;1115
136;209;223
137;710;656
138;363;532
139;635;966
140;1128;278
141;351;563
142;771;282
143;1056;481
144;961;1037
145;136;919
146;1134;957
147;675;1046
148;492;361
149;860;916
150;1080;1061
151;750;634
152;159;247
153;994;485
154;250;734
155;926;204
156;299;73
157;840;553
158;481;51
159;658;111
160;210;311
161;568;20
162;344;485
163;649;86
164;465;596
165;673;172
166;111;987
167;41;109
168;90;398
169;1047;2
170;278;1092
171;1120;225
172;497;1080
173;459;561
174;202;417
175;33;789
176;650;1129
177;1076;845
178;1083;722
179;157;1085
180;57;207
181;200;178
182;17;936
183;1050;352
184;495;864
185;581;686
186;721;1013
187;216;720
188;837;1118
189;63;864
190;303;136
191;404;981
192;842;482
193;591;890
194;1072;386
195;40;551
196;401;105
197;708;1090
198;703;416
199;294;505
200;708;1018
